taxonomy_id,business_family,business_submodule,business_detail
M09.01.05,Yêu cầu hỗ trợ và chăm sóc khách hàng,Tạo yêu cầu,Đính kèm ảnh/video hỗ trợ
M09.01.06,Yêu cầu hỗ trợ và chăm sóc khách hàng,Tạo yêu cầu,Cập nhật người liên hệ hỗ trợ
M09.02.01,Yêu cầu hỗ trợ và chăm sóc khách hàng,Yêu cầu 1 chạm,Nhập nội dung hỗ trợ tự do
M09.02.02,Yêu cầu hỗ trợ và chăm sóc khách hàng,Yêu cầu 1 chạm,Chọn quick action hỗ trợ
M09.02.03,Yêu cầu hỗ trợ và chăm sóc khách hàng,Yêu cầu 1 chạm,Nhập yêu cầu bằng voice-to-text
M09.02.04,Yêu cầu hỗ trợ và chăm sóc khách hàng,Yêu cầu 1 chạm,Mở tính năng tự phục vụ từ intent hỗ trợ
M09.02.05,Yêu cầu hỗ trợ và chăm sóc khách hàng,Yêu cầu 1 chạm,Tạo yêu cầu thủ công khi không nhận diện intent
M09.03.01,Yêu cầu hỗ trợ và chăm sóc khách hàng,Lịch sử và tiến trình,Xem lịch sử yêu cầu hỗ trợ
M09.03.02,Yêu cầu hỗ trợ và chăm sóc khách hàng,Lịch sử và tiến trình,Xem yêu cầu đang xử lý
M09.03.03,Yêu cầu hỗ trợ và chăm sóc khách hàng,Lịch sử và tiến trình,Xem yêu cầu hoàn tất
M09.03.04,Yêu cầu hỗ trợ và chăm sóc khách hàng,Lịch sử và tiến trình,Xem chi tiết/trạng thái yêu cầu
M09.03.05,Yêu cầu hỗ trợ và chăm sóc khách hàng,Lịch sử và tiến trình,Xem thông tin kỹ thuật viên
M09.03.06,Yêu cầu hỗ trợ và chăm sóc khách hàng,Lịch sử và tiến trình,Gọi kỹ thuật viên
M09.03.07,Yêu cầu hỗ trợ và chăm sóc khách hàng,Lịch sử và tiến trình,Hủy yêu cầu hỗ trợ chưa đóng
M09.04.01,Yêu cầu hỗ trợ và chăm sóc khách hàng,Lịch hẹn kỹ thuật,Chọn ngày/khung giờ hẹn kỹ thuật
M09.04.02,Yêu cầu hỗ trợ và chăm sóc khách hàng,Lịch hẹn kỹ thuật,Áp dụng lịch hẹn kỹ thuật
M09.04.03,Yêu cầu hỗ trợ và chăm sóc khách hàng,Lịch hẹn kỹ thuật,Đổi lịch hẹn kỹ thuật
M09.04.04,Yêu cầu hỗ trợ và chăm sóc khách hàng,Lịch hẹn kỹ thuật,Gửi phản ánh lịch hẹn bị thay đổi
M09.05.01,Yêu cầu hỗ trợ và chăm sóc khách hàng,Xác nhận sau hỗ trợ,Xác nhận SR-HTKT đã hoàn tất
M09.05.02,Yêu cầu hỗ trợ và chăm sóc khách hàng,Xác nhận sau hỗ trợ,Phản hồi SR-HTKT chưa hoàn tất
M09.05.03,Yêu cầu hỗ trợ và chăm sóc khách hàng,Xác nhận sau hỗ trợ,Đánh giá sau SR-HTKT
M09.06.01,Yêu cầu hỗ trợ và chăm sóc khách hàng,"Chat, FAQ và điểm giao dịch",Chat với CSKH/FPT Telecom
M09.06.02,Yêu cầu hỗ trợ và chăm sóc khách hàng,"Chat, FAQ và điểm giao dịch",Hỏi đáp ChatBot
M09.06.03,Yêu cầu hỗ trợ và chăm sóc khách hàng,"Chat, FAQ và điểm giao dịch",Xem câu hỏi thường gặp
M09.06.04,Yêu cầu hỗ trợ và chăm sóc khách hàng,"Chat, FAQ và điểm giao dịch",Xem điểm giao dịch
M09.07.01,Yêu cầu hỗ trợ và chăm sóc khách hàng,Hỗ trợ chủ động,Mở hỗ trợ theo ngữ cảnh từ icon nổi
M09.07.02,Yêu cầu hỗ trợ và chăm sóc khách hàng,Hỗ trợ chủ động,Gửi yêu cầu có thông tin điền sẵn
M09.07.03,Yêu cầu hỗ trợ và chăm sóc khách hàng,Hỗ trợ chủ động,Mở gợi ý hỗ trợ sau chụp màn hình
M09.07.04,Yêu cầu hỗ trợ và chăm sóc khách hàng,Hỗ trợ chủ động,Chat sau chụp màn hình khi không có hợp đồng
M09.07.05,Yêu cầu hỗ trợ và chăm sóc khách hàng,Hỗ trợ chủ động,Ẩn gợi ý hỗ trợ chủ động
M09.08.01,Yêu cầu hỗ trợ và chăm sóc khách hàng,Hi FPT Lite,Yêu cầu hỗ trợ khi không đăng nhập được
M09.08.02,Yêu cầu hỗ trợ và chăm sóc khách hàng,Hi FPT Lite,Tạo hỗ trợ khi Hi FPT lỗi hệ thống
M09.08.03,Yêu cầu hỗ trợ và chăm sóc khách hàng,Hi FPT Lite,Tạo hỗ trợ khi Inside lỗi
M09.08.04,Yêu cầu hỗ trợ và chăm sóc khách hàng,Hi FPT Lite,Mở web ký biên bản khi Hi FPT lỗi
M10.01.01,Hóa đơn và thanh toán,Hóa đơn/khoản thu,Xem danh sách hóa đơn/khoản thu
M10.01.02,Hóa đơn và thanh toán,Hóa đơn/khoản thu,Chọn hóa đơn/khoản thu cần thanh toán
M10.01.03,Hóa đơn và thanh toán,Hóa đơn/khoản thu,Xem thông tin/tổng tiền thanh toán
M10.01.04,Hóa đơn và thanh toán,Hóa đơn/khoản thu,Thanh toán hóa đơn/khoản thu
M10.01.05,Hóa đơn và thanh toán,Hóa đơn/khoản thu,Mở QR thanh toán theo hợp đồng
M10.02.01,Hóa đơn và thanh toán,Trả hộ và chưa đăng nhập,Tra cứu hợp đồng để trả hộ
M10.02.02,Hóa đơn và thanh toán,Trả hộ và chưa đăng nhập,Thanh toán hóa đơn trả hộ
M10.02.03,Hóa đơn và thanh toán,Trả hộ và chưa đăng nhập,Tra cứu hóa đơn khi chưa đăng nhập
M10.02.04,Hóa đơn và thanh toán,Trả hộ và chưa đăng nhập,Thanh toán hóa đơn khi chưa đăng nhập
M10.02.05,Hóa đơn và thanh toán,Trả hộ và chưa đăng nhập,Tra cứu lịch sử thanh toán khi chưa đăng nhập
M10.03.01,Hóa đơn và thanh toán,Trả trước,Mở đăng ký trả trước
M10.03.02,Hóa đơn và thanh toán,Trả trước,Chọn hợp đồng trả trước
M10.03.03,Hóa đơn và thanh toán,Trả trước,Xem báo giá/gói trả trước
M10.03.04,Hóa đơn và thanh toán,Trả trước,Chọn gói/thời hạn trả trước
M10.03.05,Hóa đơn và thanh toán,Trả trước,Sửa khoản thu trả trước
M10.03.06,Hóa đơn và thanh toán,Trả trước,Xóa khoản thu trả trước
M10.03.07,Hóa đơn và thanh toán,Trả trước,Thanh toán trả trước
M10.04.01,Hóa đơn và thanh toán,Trả tự động,Đăng ký trả tự động
M10.04.02,Hóa đơn và thanh toán,Trả tự động,Chọn thẻ/phương thức trả tự động
M10.04.03,Hóa đơn và thanh toán,Trả tự động,Đổi phương thức trả tự động
M10.04.04,Hóa đơn và thanh toán,Trả tự động,Hủy trả tự động
M10.04.05,Hóa đơn và thanh toán,Trả tự động,Thiết lập ngày trả tự động
M10.05.01,Hóa đơn và thanh toán,Ví/thẻ liên kết,Xem danh sách ví/thẻ
M10.05.02,Hóa đơn và thanh toán,Ví/thẻ liên kết,Xem chi tiết ví/thẻ liên kết
M10.05.03,Hóa đơn và thanh toán,Ví/thẻ liên kết,Liên kết thẻ nội địa
M10.05.04,Hóa đơn và thanh toán,Ví/thẻ liên kết,Liên kết thẻ quốc tế
M10.05.05,Hóa đơn và thanh toán,Ví/thẻ liên kết,Liên kết phương thức thanh toán hỗ trợ token
M10.05.06,Hóa đơn và thanh toán,Ví/thẻ liên kết,Hủy liên kết ví/thẻ
M10.05.07,Hóa đơn và thanh toán,Ví/thẻ liên kết,Xác thực OTP hủy liên kết khi đối tác yêu cầu
M10.05.08,Hóa đơn và thanh toán,Ví/thẻ liên kết,Đổi trả tự động trước hủy thẻ đang sử dụng
M10.06.01,Hóa đơn và thanh toán,Phương thức thanh toán,Thanh toán VietQR
M10.06.02,Hóa đơn và thanh toán,Phương thức thanh toán,Thanh toán Apple Pay
M10.06.03,Hóa đơn và thanh toán,Phương thức thanh toán,Thanh toán Google Pay
M10.06.04,Hóa đơn và thanh toán,Phương thức thanh toán,Thanh toán chuyển khoản nhanh
M10.06.05,Hóa đơn và thanh toán,Phương thức thanh toán,Thanh toán MoMo
M10.06.06,Hóa đơn và thanh toán,Phương thức thanh toán,Thanh toán ZaloPay
M10.06.07,Hóa đơn và thanh toán,Phương thức thanh toán,Thanh toán ShopeePay
M10.06.08,Hóa đơn và thanh toán,Phương thức thanh toán,Thanh toán thẻ quốc tế
M10.06.09,Hóa đơn và thanh toán,Phương thức thanh toán,Thanh toán thẻ nội địa
M10.06.10,Hóa đơn và thanh toán,Phương thức thanh toán,Thanh toán bằng thẻ đã liên kết
M10.06.11,Hóa đơn và thanh toán,Phương thức thanh toán,Mở thanh toán COD khi sản phẩm hỗ trợ
M10.07.01,Hóa đơn và thanh toán,Ưu đãi khi thanh toán,Xem danh sách ưu đãi thanh toán
M10.07.02,Hóa đơn và thanh toán,Ưu đãi khi thanh toán,Nhập/kiểm tra mã ưu đãi
M10.07.03,Hóa đơn và thanh toán,Ưu đãi khi thanh toán,Áp dụng mã ưu đãi
M10.07.04,Hóa đơn và thanh toán,Ưu đãi khi thanh toán,Áp dụng mã giới thiệu
M10.07.05,Hóa đơn và thanh toán,Ưu đãi khi thanh toán,Áp dụng voucher EVC FGold vào hóa đơn
M10.07.06,Hóa đơn và thanh toán,Ưu đãi khi thanh toán,Hủy áp dụng EVC FGold trước thanh toán
M10.07.07,Hóa đơn và thanh toán,Ưu đãi khi thanh toán,Áp dụng ưu đãi theo phương thức thanh toán
M10.07.08,Hóa đơn và thanh toán,Ưu đãi khi thanh toán,Áp dụng voucher Napas
M10.07.09,Hóa đơn và thanh toán,Ưu đãi khi thanh toán,Mở thanh toán Visa có ưu đãi
M10.07.10,Hóa đơn và thanh toán,Ưu đãi khi thanh toán,Mở thanh toán từ deeplink điền sẵn voucher
M10.08.01,Hóa đơn và thanh toán,Lịch sử và kết quả,Xem lịch sử thanh toán
M10.08.02,Hóa đơn và thanh toán,Lịch sử và kết quả,Tìm lịch sử theo tên hóa đơn
M10.08.03,Hóa đơn và thanh toán,Lịch sử và kết quả,Lọc lịch sử theo hợp đồng/Trả hộ
M10.08.04,Hóa đơn và thanh toán,Lịch sử và kết quả,Xem chi tiết giao dịch
M10.08.05,Hóa đơn và thanh toán,Lịch sử và kết quả,Xem kết quả thanh toán thành công/thất bại/chờ xử lý
M10.09.01,Hóa đơn và thanh toán,Tiện ích/cài đặt thanh toán,Mở quản lý/cài đặt thanh toán
M10.09.02,Hóa đơn và thanh toán,Tiện ích/cài đặt thanh toán,Thiết lập kênh nhận thông báo cước
M10.09.03,Hóa đơn và thanh toán,Tiện ích/cài đặt thanh toán,Thiết lập lịch nhắc thanh toán
M10.09.04,Hóa đơn và thanh toán,Tiện ích/cài đặt thanh toán,Mở gia hạn thanh toán
M10.10.01,Hóa đơn và thanh toán,BNPL/FPT Paylater lịch sử,Đăng ký ví trả sau
M10.10.02,Hóa đơn và thanh toán,BNPL/FPT Paylater lịch sử,Ký hợp đồng ví trả sau
M10.10.03,Hóa đơn và thanh toán,BNPL/FPT Paylater lịch sử,Xem hồ sơ/hạn mức ví trả sau
M10.10.04,Hóa đơn và thanh toán,BNPL/FPT Paylater lịch sử,Thanh toán dư nợ để mở khóa ví trả sau
M10.10.05,Hóa đơn và thanh toán,BNPL/FPT Paylater lịch sử,Thanh toán bằng FPT Paylater
M11.01.01,Hi FPT Shop và đăng ký sản phẩm,Khám phá Shop,Xem Home đăng ký dịch vụ
M11.01.02,Hi FPT Shop và đăng ký sản phẩm,Khám phá Shop,Xem danh mục sản phẩm
M11.01.03,Hi FPT Shop và đăng ký sản phẩm,Khám phá Shop,Xem sản phẩm nổi bật
M11.01.04,Hi FPT Shop và đăng ký sản phẩm,Khám phá Shop,Xem chi tiết sản phẩm
M11.01.05,Hi FPT Shop và đăng ký sản phẩm,Khám phá Shop,Xem sản phẩm Hi Sale
M11.01.06,Hi FPT Shop và đăng ký sản phẩm,Khám phá Shop,Xem voucher/campaign Shop
M11.01.07,Hi FPT Shop và đăng ký sản phẩm,Khám phá Shop,Cập nhật địa chỉ để xem chính sách giá
M11.01.08,Hi FPT Shop và đăng ký sản phẩm,Khám phá Shop,Bắt đầu luồng mua/đăng ký sản phẩm
M11.02.01,Hi FPT Shop và đăng ký sản phẩm,Danh mục đăng ký/mua,Mở đăng ký Internet only
M11.02.02,Hi FPT Shop và đăng ký sản phẩm,Danh mục đăng ký/mua,Mở đăng ký Combo Net/Net Play/Net Camera
M11.02.03,Hi FPT Shop và đăng ký sản phẩm,Danh mục đăng ký/mua,Mở mua router/AP
M11.02.04,Hi FPT Shop và đăng ký sản phẩm,Danh mục đăng ký/mua,Mở đăng ký Camera/Camera OTT
M11.02.05,Hi FPT Shop và đăng ký sản phẩm,Danh mục đăng ký/mua,Mở đăng ký FPT Play thuê bao
M11.02.06,Hi FPT Shop và đăng ký sản phẩm,Danh mục đăng ký/mua,Mở mua gói FPT Play giải trí
M11.02.07,Hi FPT Shop và đăng ký sản phẩm,Danh mục đăng ký/mua,Mở mua giải pháp/thiết bị Smart Home
M11.02.08,Hi FPT Shop và đăng ký sản phẩm,Danh mục đăng ký/mua,Mở mua Smart TV
M11.02.09,Hi FPT Shop và đăng ký sản phẩm,Danh mục đăng ký/mua,Mở mua thiết bị đo đường huyết
M11.02.10,Hi FPT Shop và đăng ký sản phẩm,Danh mục đăng ký/mua,Mở đăng ký FSafe/FSafe Go
M11.02.11,Hi FPT Shop và đăng ký sản phẩm,Danh mục đăng ký/mua,Mở đăng ký Ultra Fast
M11.02.12,Hi FPT Shop và đăng ký sản phẩm,Danh mục đăng ký/mua,Mở giới thiệu/đăng ký Vioedu
M11.02.13,Hi FPT Shop và đăng ký sản phẩm,Danh mục đăng ký/mua,Mở danh mục/gói FShare
M11.03.01,Hi FPT Shop và đăng ký sản phẩm,Địa chỉ Shop,Xem danh sách địa chỉ Shop
M11.03.02,Hi FPT Shop và đăng ký sản phẩm,Địa chỉ Shop,Thêm địa chỉ Shop
M11.03.03,Hi FPT Shop và đăng ký sản phẩm,Địa chỉ Shop,Sửa địa chỉ Shop
M11.03.04,Hi FPT Shop và đăng ký sản phẩm,Địa chỉ Shop,Xóa địa chỉ Shop
M11.03.05,Hi FPT Shop và đăng ký sản phẩm,Địa chỉ Shop,Chọn địa chỉ mặc định Shop
M11.03.06,Hi FPT Shop và đăng ký sản phẩm,Địa chỉ Shop,Chọn địa chỉ giao hàng/đăng ký dịch vụ
M11.04.01,Hi FPT Shop và đăng ký sản phẩm,Đơn hàng,Xem lịch sử đơn hàng
M11.04.02,Hi FPT Shop và đăng ký sản phẩm,Đơn hàng,Xem đơn hàng theo danh mục
M11.04.03,Hi FPT Shop và đăng ký sản phẩm,Đơn hàng,Xem chi tiết/trạng thái đơn hàng
M11.04.04,Hi FPT Shop và đăng ký sản phẩm,Đơn hàng,Thanh toán đơn hàng chưa thanh toán
M11.04.05,Hi FPT Shop và đăng ký sản phẩm,Đơn hàng,Xem đơn hàng chờ ký xác nhận
M11.05.01,Hi FPT Shop và đăng ký sản phẩm,Thanh toán tiện ích đối tác,Mở thanh toán điện
M11.05.02,Hi FPT Shop và đăng ký sản phẩm,Thanh toán tiện ích đối tác,Mở thanh toán nước
M11.05.03,Hi FPT Shop và đăng ký sản phẩm,Thanh toán tiện ích đối tác,Mở thanh toán điện thoại cố định
M11.05.04,Hi FPT Shop và đăng ký sản phẩm,Thanh toán tiện ích đối tác,Mở thanh toán di động trả sau
M12.01.01,Khách hàng thân thiết và ưu đãi,Hội viên và điểm,Mở đăng ký hội viên KHTT
M12.01.02,Khách hàng thân thiết và ưu đãi,Hội viên và điểm,Xem thông tin/hạng hội viên
M12.01.03,Khách hàng thân thiết và ưu đãi,Hội viên và điểm,Xem số dư điểm FGold
M12.01.04,Khách hàng thân thiết và ưu đãi,Hội viên và điểm,Mở SDK Loyalty cho tài khoản Non-FTEL
M12.01.05,Khách hàng thân thiết và ưu đãi,Hội viên và điểm,Xem thông báo được tặng điểm FGold
M12.02.01,Khách hàng thân thiết và ưu đãi,Khám phá ưu đãi,Mở Ưu đãi/SDK Loyalty khi đã đăng nhập
M12.02.02,Khách hàng thân thiết và ưu đãi,Khám phá ưu đãi,Xem ưu đãi Hi FPT khi chưa đăng nhập
M12.02.03,Khách hàng thân thiết và ưu đãi,Khám phá ưu đãi,Xem Ưu đãi của tôi
M12.02.04,Khách hàng thân thiết và ưu đãi,Khám phá ưu đãi,Xem chi tiết chương trình ưu đãi
M12.02.05,Khách hàng thân thiết và ưu đãi,Khám phá ưu đãi,Mở ưu đãi sắp hết hạn
M12.03.01,Khách hàng thân thiết và ưu đãi,Đổi và tiêu điểm,Mở đổi điểm FGold tại Loyalty
M12.03.02,Khách hàng thân thiết và ưu đãi,Đổi và tiêu điểm,Bật tiêu điểm FGold khi mua hàng
M12.03.03,Khách hàng thân thiết và ưu đãi,Đổi và tiêu điểm,Nhập/chỉnh số điểm FGold muốn đổi
M12.03.04,Khách hàng thân thiết và ưu đãi,Đổi và tiêu điểm,Xác nhận đổi điểm thành EVC mua hàng
M12.03.05,Khách hàng thân thiết và ưu đãi,Đổi và tiêu điểm,Áp dụng EVC giảm giá đơn hàng
M13.01.01,Giới thiệu bạn bè và lan tỏa,Giới thiệu đăng ký dịch vụ,Chọn hợp đồng để lấy mã giới thiệu
M13.01.02,Giới thiệu bạn bè và lan tỏa,Giới thiệu đăng ký dịch vụ,Sao chép mã giới thiệu dịch vụ
M13.01.03,Giới thiệu bạn bè và lan tỏa,Giới thiệu đăng ký dịch vụ,Sao chép link giới thiệu dịch vụ
M13.01.04,Giới thiệu bạn bè và lan tỏa,Giới thiệu đăng ký dịch vụ,Xem QR giới thiệu dịch vụ
M13.01.05,Giới thiệu bạn bè và lan tỏa,Giới thiệu đăng ký dịch vụ,Chia sẻ link/mã giới thiệu dịch vụ
M13.01.06,Giới thiệu bạn bè và lan tỏa,Giới thiệu đăng ký dịch vụ,Xem hướng dẫn giới thiệu
M13.01.07,Giới thiệu bạn bè và lan tỏa,Giới thiệu đăng ký dịch vụ,Xem chính sách/quà tặng giới thiệu
M13.01.08,Giới thiệu bạn bè và lan tỏa,Giới thiệu đăng ký dịch vụ,Xem lịch sử giới thiệu dịch vụ
M13.01.09,Giới thiệu bạn bè và lan tỏa,Giới thiệu đăng ký dịch vụ,Xem trạng thái giới thiệu/nhận thưởng
M13.02.01,Giới thiệu bạn bè và lan tỏa,Giới thiệu tải ứng dụng,Xem QR của tôi
M13.02.02,Giới thiệu bạn bè và lan tỏa,Giới thiệu tải ứng dụng,Sao chép mã giới thiệu tải app
M13.02.03,Giới thiệu bạn bè và lan tỏa,Giới thiệu tải ứng dụng,Tải QR giới thiệu tải app
M13.02.04,Giới thiệu bạn bè và lan tỏa,Giới thiệu tải ứng dụng,Chia sẻ QR/link mời dùng Hi FPT
M13.02.05,Giới thiệu bạn bè và lan tỏa,Giới thiệu tải ứng dụng,Xem danh sách bạn bè đã giới thiệu tải app
M13.02.06,Giới thiệu bạn bè và lan tỏa,Giới thiệu tải ứng dụng,Lọc người được giới thiệu theo thời gian
M13.02.07,Giới thiệu bạn bè và lan tỏa,Giới thiệu tải ứng dụng,Xem quà tặng giới thiệu tải app
M14.01.01,Tiện ích và trải nghiệm,Quét QR,Quét QR bằng camera
M14.01.02,Tiện ích và trải nghiệm,Quét QR,Đọc QR từ ảnh tải lên
M14.01.03,Tiện ích và trải nghiệm,Quét QR,Check-in sự kiện bằng QR
M14.01.04,Tiện ích và trải nghiệm,Quét QR,Nhận ưu đãi bằng QR
M14.01.05,Tiện ích và trải nghiệm,Quét QR,Mở liên kết web từ QR hợp lệ
M14.02.01,Tiện ích và trải nghiệm,Thẻ nhân viên,Xác thực nhân viên bằng email/OTP
M14.02.02,Tiện ích và trải nghiệm,Thẻ nhân viên,Xem/làm mới QR nhân viên
M14.02.03,Tiện ích và trải nghiệm,Thẻ nhân viên,Quét QR nhân viên
M14.02.04,Tiện ích và trải nghiệm,Thẻ nhân viên,Xem thông tin nhân viên FPT
M14.03.01,Tiện ích và trải nghiệm,Mở thẻ tín dụng VPBank,Mở luồng mở thẻ VPBank
M14.03.02,Tiện ích và trải nghiệm,Mở thẻ tín dụng VPBank,Nhập thông tin và eKYC trên web-in-app
M14.03.03,Tiện ích và trải nghiệm,Mở thẻ tín dụng VPBank,Xem kết quả/trạng thái mở thẻ
M14.03.04,Tiện ích và trải nghiệm,Mở thẻ tín dụng VPBank,Mở voucher ưu đãi được cấp sau mở thẻ
M14.04.01,Tiện ích và trải nghiệm,Sao May/Tarot,Mở Sao May
M14.04.02,Tiện ích và trải nghiệm,Sao May/Tarot,Chọn chủ đề Tarot
M14.04.03,Tiện ích và trải nghiệm,Sao May/Tarot,Xem kết quả chủ đề Tarot
M14.04.04,Tiện ích và trải nghiệm,Sao May/Tarot,Xem lại lịch sử chủ đề đã xem
M14.04.05,Tiện ích và trải nghiệm,Sao May/Tarot,Mở chủ đề khác/toàn bộ lịch sử qua đăng nhập
M14.05.01,Tiện ích và trải nghiệm,Nhà trọ thông minh,Mở trải nghiệm Nhà trọ thông minh
M14.05.02,Tiện ích và trải nghiệm,Nhà trọ thông minh,Xem tourguide Nhà trọ
M14.05.03,Tiện ích và trải nghiệm,Nhà trọ thông minh,Mở chuyển vai trò người dùng Nhà trọ
M14.05.04,Tiện ích và trải nghiệm,Nhà trọ thông minh,Mở thông báo Nhà trọ
M14.05.05,Tiện ích và trải nghiệm,Nhà trọ thông minh,Mở Thêm nhà trọ
M14.05.06,Tiện ích và trải nghiệm,Nhà trọ thông minh,Mở Tổng phòng
M14.05.07,Tiện ích và trải nghiệm,Nhà trọ thông minh,Mở Phiếu thu
M14.05.08,Tiện ích và trải nghiệm,Nhà trọ thông minh,Mở Người thuê
M14.05.09,Tiện ích và trải nghiệm,Nhà trọ thông minh,Mở Phòng trống
M14.05.10,Tiện ích và trải nghiệm,Nhà trọ thông minh,Mở Chờ xác nhận
M14.06.01,Tiện ích và trải nghiệm,Game và sandbox,Mở Game theo campaign
M14.06.02,Tiện ích và trải nghiệm,Game và sandbox,Mở điểm chạm Sổ chi tiêu
M15.01.01,"Thông báo, lời nhắc và truy cập nhanh",Hộp thông báo,Xem danh sách thông báo
M15.01.02,"Thông báo, lời nhắc và truy cập nhanh",Hộp thông báo,Lọc thông báo Tất cả/Thanh toán/Dịch vụ/Ưu đãi/Ứng dụng
M15.01.03,"Thông báo, lời nhắc và truy cập nhanh",Hộp thông báo,Xem chi tiết thông báo
M15.01.04,"Thông báo, lời nhắc và truy cập nhanh",Hộp thông báo,Mở CTA/deeplink từ thông báo
M15.01.05,"Thông báo, lời nhắc và truy cập nhanh",Hộp thông báo,Đánh dấu tất cả đã đọc
M15.01.06,"Thông báo, lời nhắc và truy cập nhanh",Hộp thông báo,Xóa thông báo
M15.01.07,"Thông báo, lời nhắc và truy cập nhanh",Hộp thông báo,Chọn/xóa nhiều thông báo
M15.01.08,"Thông báo, lời nhắc và truy cập nhanh",Hộp thông báo,Xóa thông báo đã đọc
M15.02.01,"Thông báo, lời nhắc và truy cập nhanh",Cài đặt thông báo,Bật/tắt nhóm thông báo
M15.02.02,"Thông báo, lời nhắc và truy cập nhanh",Cài đặt thông báo,Mở yêu cầu cấp quyền nhận push notification
M15.02.03,"Thông báo, lời nhắc và truy cập nhanh",Cài đặt thông báo,Mở thông báo khi chưa đăng nhập
M15.02.04,"Thông báo, lời nhắc và truy cập nhanh",Cài đặt thông báo,Đăng nhập từ CTA thông báo cần xác thực
M15.03.01,"Thông báo, lời nhắc và truy cập nhanh",Smart Assistant lời nhắc,Mở lời nhắc thanh toán/gia hạn thanh toán
M15.03.02,"Thông báo, lời nhắc và truy cập nhanh",Smart Assistant lời nhắc,Mở lời nhắc gia hạn dịch vụ
M15.03.03,"Thông báo, lời nhắc và truy cập nhanh",Smart Assistant lời nhắc,Mở lời nhắc đăng ký trả trước
M15.03.04,"Thông báo, lời nhắc và truy cập nhanh",Smart Assistant lời nhắc,Mở lời nhắc gián đoạn/bảo trì/sự cố
M15.03.05,"Thông báo, lời nhắc và truy cập nhanh",Smart Assistant lời nhắc,Mở lời nhắc khởi động modem
M15.03.06,"Thông báo, lời nhắc và truy cập nhanh",Smart Assistant lời nhắc,Mở lời nhắc đặt lịch khởi động modem
M15.03.07,"Thông báo, lời nhắc và truy cập nhanh",Smart Assistant lời nhắc,Mở lời nhắc ký biên bản
M15.03.08,"Thông báo, lời nhắc và truy cập nhanh",Smart Assistant lời nhắc,Mở lời nhắc đánh giá dịch vụ
M15.03.09,"Thông báo, lời nhắc và truy cập nhanh",Smart Assistant lời nhắc,Mở lời nhắc ưu đãi/marketing
M15.03.10,"Thông báo, lời nhắc và truy cập nhanh",Smart Assistant lời nhắc,Đóng/ẩn Smart Assistant
M15.04.01,"Thông báo, lời nhắc và truy cập nhanh",Widget,Thêm tiện ích Hi FPT trên màn hình điện thoại
M15.04.02,"Thông báo, lời nhắc và truy cập nhanh",Widget,Mở tính năng từ Widget
M15.04.03,"Thông báo, lời nhắc và truy cập nhanh",Widget,Mở đăng nhập/Home từ Widget khi chưa đăng nhập
M16.01.01,"Đánh giá, góp ý và khảo sát",CSAT dịch vụ,Đánh giá triển khai dịch vụ
M16.01.02,"Đánh giá, góp ý và khảo sát",CSAT dịch vụ,Đánh giá bảo trì/hỗ trợ
M16.01.03,"Đánh giá, góp ý và khảo sát",CSAT dịch vụ,Đánh giá nâng cấp/SWAP Wi-Fi
M16.01.04,"Đánh giá, góp ý và khảo sát",CSAT dịch vụ,Đánh giá chất lượng đường truyền sau 24h
M16.01.05,"Đánh giá, góp ý và khảo sát",CSAT dịch vụ,Chọn lý do chưa hài lòng
M16.01.06,"Đánh giá, góp ý và khảo sát",CSAT dịch vụ,Gửi ghi chú đánh giá
M16.01.07,"Đánh giá, góp ý và khảo sát",CSAT dịch vụ,Xem lại chi tiết đánh giá đã gửi
M16.02.01,"Đánh giá, góp ý và khảo sát",NPS,Đánh giá mức sẵn sàng giới thiệu dịch vụ (NPS)
M16.03.01,"Đánh giá, góp ý và khảo sát",Ứng dụng và góp ý,Chọn số sao đánh giá ứng dụng
M16.03.02,"Đánh giá, góp ý và khảo sát",Ứng dụng và góp ý,Mở đánh giá Hi FPT trên App Store/Google Play
M16.03.03,"Đánh giá, góp ý và khảo sát",Ứng dụng và góp ý,Chọn lý do góp ý
M16.03.04,"Đánh giá, góp ý và khảo sát",Ứng dụng và góp ý,Nhập và gửi góp ý
M16.03.05,"Đánh giá, góp ý và khảo sát",Ứng dụng và góp ý,Xem lịch sử góp ý
M16.03.06,"Đánh giá, góp ý và khảo sát",Ứng dụng và góp ý,Xem chi tiết/trạng thái xử lý góp ý
M16.04.01,"Đánh giá, góp ý và khảo sát",Khảo sát FLI,Mở khảo sát FLI
M16.04.02,"Đánh giá, góp ý và khảo sát",Khảo sát FLI,Trả lời khảo sát một đáp án
M16.04.03,"Đánh giá, góp ý và khảo sát",Khảo sát FLI,Trả lời khảo sát nhiều đáp án
M16.04.04,"Đánh giá, góp ý và khảo sát",Khảo sát FLI,Nhập câu trả lời khảo sát
M16.04.05,"Đánh giá, góp ý và khảo sát",Khảo sát FLI,Hoàn thành khảo sát FLI
M16.04.06,"Đánh giá, góp ý và khảo sát",Khảo sát FLI,Xác nhận thoát khảo sát chưa hoàn thành
